name,latitude,longitude,city,iata
Enshi Xujiaping Airport,30.320299,109.485001,Enshi (Enshi),ENH
Guangzhou MR Air Base / Guanghua Airport,32.38866,111.69425,Xiangyang (Laohekou),LHK
Wuhan Tianhe International Airport,30.774798,114.213723,Wuhan (Huangpi),WUH
Jingzhou Shashi Airport,30.29281,112.44854,Jingzhou (Shashi),SHS
Luoyang Beijiao Airport,34.7411,112.388,Luoyang (Laocheng),LYA
Nanyang Jiangying Airport,32.982696,112.617467,Nanyang (Wancheng),NNY
Anyang Hongqiqu Airport,35.870833,114.461944,Anyang,HQQ
Shennongjia Hongping Airport,31.626,110.34,Shennongjia (Hongping),HPG
Shiyan Wudangshan Airport,32.592889,110.906296,Shiyan (Maojian),WDS
Xiangyang Liuji Airport,32.152222,112.291666,Xiangyang (Xiangzhou),XFN
Yichang Sanxia Airport,30.554132,111.482563,Yichang (Xiaoting),YIH
Zamzama Heliport,26.71094444,67.66725,Zamzama Gas Field,ZIZ
Haikou Meilan International Airport,19.9349,110.459,Haikou (Meilan),HAK
Qionghai Bo'ao Airport,19.140951,110.452766,Qionghai (Basuo),BAR
Sanya Phoenix International Airport,18.3029,109.412003,Sanya (Tianya),SYX
Yongxing Dao (Woody Island) Airport,16.8328,112.344002,Sansha (Yongxing Dao / Woody Island),XYI
Pyongyang Sunan International Airport,39.224098,125.669998,Pyongyang,FNJ
Sondok Airport,39.745201,127.473999,Sŏndŏng-ni,DSO
Wonsan Kalma International Airport,39.166801,127.486,Wonsan,WOS
Ankang Fuqiang Airport,32.75696,108.87338,Ankang (Hanbin),AKA
Dunhuang Mogao International Airport,40.161098,94.809196,Dunhuang,DNH
Delingha Airport,37.125286,97.268658,Delingha,HXD
Golmud Airport,36.4006,94.786102,Golmud,GOQ
Guyuan Liupanshan Airport,36.078889,106.216944,Guyuan (Yuanzhou),GYU
Huatugou Airport,38.201645,90.837843,Mengnai,HTT
Hanzhong Chenggu Airport,33.133527,107.203817,Hanzhong (Chenggu),HZG
Yinchuan Hedong International Airport,38.322758,106.393214,Yinchuan,INC
Jiayuguan Airport,39.856899,98.3414,Jiayuguan,JGN
Lanzhou Zhongchuan International Airport,36.515202,103.620003,Lanzhou (Yongdeng),LHW
Longnan Chengzhou Airport,33.789918,105.790014,Longnan (Cheng),LNL
Qingyang Xifeng Airport,35.802638,107.598896,Qingyang (Xifeng),IQN
Xi'an Xiguan Airport,34.376701,109.120003,Xi'an (Baqiao),SIA
Gannan Xiahe Airport,34.819014,102.622261,Gannan (Xiahe),GXH
Xining Caojiabao International Airport,36.530093,102.040062,Haidong (Huzhu Tu Autonomous County),XNN
Xi'an Xianyang International Airport,34.447102,108.751999,Xianyang (Weicheng),XIY
Yulin Yuyang Airport,38.35971,109.590927,Yulin,UYN
Zhongwei Shapotou Airport,37.573125,105.154454,Zhongwei (Shapotou),ZHY
Kalumbila Airport,-12.25358,25.44432,Kalumbila,UMB
Arvaikheer Airport,46.25030136,102.802002,Arvaikheer,AVK
Altai Airport,46.37639999,96.22109985,Altai,LTI
Bayankhongor Airport,46.16329956,100.7040024,Bayankhongor,BYN
Bulgan Airport,48.85499954,103.4759979,Bulgan,UGA
Bulagtai Resort Airport,43.749304,104.114985,Khankhongor,UGT
Bulgan Sum Airport,46.100601,91.584198,Bulgan,HBU
Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833,Ulaanbaatar (Sergelen),UBN
Sena Madureira Airport,-9.116,-68.6108,Sena Madureira,ZMD
Donoi Airport,47.7093,96.5258,Uliastai,ULZ
Dalanzadgad Airport,43.608628,104.367734,Dalanzadgad,DLZ
Khujirt Airport,46.92580032,102.7730026,Khujirt,HJT
Khovd Airport,47.95410156,91.62819672,Khovd,HVD
Mörön Airport,49.66329956,100.098999,Mörön,MXV
Tsetserleg Airport,47.461476,101.483804,Tsetserleg,TSZ
Tosontsengel Airport,48.73887,98.2941,Tosontsengel,TNZ
Buyant-Ukhaa International Airport,47.843102,106.766998,Ulaanbaatar,ULN
Ulaangom Airport,50.066588,91.938273,Ulaangom,ULO
Ölgii Mongolei Airport,48.993301,89.922501,Ölgii,ULG
Nyac Airport,60.98070145,-159.9940033,Nyac,ZNC
Namu Water Aerodrome,51.862825,-127.869357,Namu,ZNU
Cangyuan Washan Airport,23.276331,99.373169,Lincang (Cangyuan),CWJ
Dali Fengyi Airport,25.649401,100.319,Dali (Xiaguan),DLU
Diqing Shangri-La Airport,27.7936,99.6772,Diqing (Shangri-La),DIG
Xishuangbanna Gasa International Airport,21.974648,100.762224,Jinghong (Gasa),JHG
Lancang Jingmai Airport,22.417733,99.784012,Pu'er (Lancang),JMJ
Lijiang Sanyi International Airport,26.68,100.246002,Lijiang (Gucheng),LJG
Dehong Mangshi Airport,24.4011,98.5317,Dehong (Mangshi),LUM
Kunming Changshui International Airport,25.110313,102.936743,Kunming,KMG
Pu'er Simao Airport,22.793301,100.959,Pu'er,SYM
Wenshan Puzhehei Airport,23.5583,104.3255,Wenshan,WNH
Zhaotong Airport,27.327549,103.75617,Zhaotong (Zhaoyang),ZAT
Stevanus Rumbewas Airport,-1.82842,136.062402,Serui,ZRI
Xiamen Gaoqi International Airport,24.54400063,118.1279984,Xiamen,XMN
Anqing Tianzhushan Airport / Anqing North Air Base,30.582199,117.050003,Anqing,AQG
Bengbu Airport,32.84773333,117.3202444,Bengbu,BFU
Changzhou Benniu International Airport,31.919701,119.778999,Changzhou,CZX
Nanchang Changbei International Airport,28.864815,115.90271,Nanchang,KHN
Fuyang Xiguan Airport,32.882157,115.734364,"Yingzhou, Fuyang",FUG
Fuzhou Changle International Airport,25.934669,119.66318,Fuzhou,FOC
Ganzhou Huangjin Airport,25.853333,114.778889,Ganzhou,KOW
Hangzhou Xiaoshan International Airport,30.23609,120.428865,Hangzhou,HGH
Heze Mudan Airport,35.212972,115.736748,Heze,HZA
Jingdezhen Luojia Airport,29.3386,117.176003,Jingdezhen,JDZ
Jining Da'an Airport,35.647358,116.743269,Jining,JNG
Jiujiang Lushan Airport,29.476944,115.801111,Jiujiang,JIU
Jinan Yaoqiang International Airport,36.857201,117.216003,Jinan (Licheng),TNA
Quzhou Airport,28.965799,118.899002,Quzhou,JUZ
Longyan Guanzhishan Airport,25.6747,116.747002,Longyan,LCX
Taizhou Luqiao Airport,28.562201,121.429001,Huangyan,HYN
Linyi Qiyang Airport,35.052918,118.411828,Linyi,LYI
Ningbo Lishe International Airport,29.82670021,121.461998,Ningbo,NGB
Nanjing Lukou International Airport,31.735032,118.865949,Nanjing,NKG
Hefei Xinqiao International Airport,31.98779,116.9769,Hefei,HFE
Shanghai Pudong International Airport,31.1434,121.805,Shanghai (Pudong),PVG
Quanzhou Jinjiang International Airport,24.7964,118.589996,Quanzhou,JJN
Rugao Air Base,32.258341,120.501131,Rugao (Nantong),RUG
Rizhao Shanzihe Airport,35.405033,119.324403,Rizhao (Donggang),RIZ
Shanghai Hongqiao International Airport,31.198104,121.33426,Shanghai (Minhang),SHA
Suzhou Guangfu Airport,31.2631,120.401001,Suzhou,SZV
Tunxi International Airport,29.73329926,118.2559967,Huangshan,TXN
Wuhu Xuanzhou Airport,31.1045,118.66687,Wuhu,WHA
Weifang Nanyuan Airport,36.646702,119.119003,Weifang (Kuiwen),WEF
Weihai Dashuibo Airport,37.187099,122.228996,Weihai,WEH
Wuhu Wanli Airport / Wuhu Air Base,31.3906,118.408997,Wuhu,WHU
Sunan Shuofang International Airport,31.49440002,120.4290009,Wuxi,WUX
Nanping Wuyishan Airport,27.7019,118.000999,Wuyishan,WUS
Wenzhou Longwan International Airport,27.912201,120.851997,Wenzhou,WNZ
Xuzhou Guanyin International Airport,34.059056,117.555278,Xuzhou,XUZ
Yangzhou Taizhou Airport,32.5634,119.7198,Yangzhou,YTY
Yichun Mingyueshan Airport,27.8025,114.3062,Yichun,YIC
Yancheng Nanyang International Airport,33.425833,120.203056,Yancheng (Tinghu),YNZ
Yiwu Airport,29.34469986,120.0319977,Yiwu,YIW
Zhoushan Putuoshan Airport,29.9342,122.362,Zhoushan,HSN
Ngari Gunsa Airport,32.1,80.053056,Shiquanhe,NGQ
Anshun Huangguoshu Airport,26.260556,105.873333,Anshun (Xixiu),AVA
Qamdo Bangda Airport,30.55360031,97.10829926,Bangda,BPX
Bijie Feixiong Airport,27.267066,105.472097,Bijie,BFJ
Chongqing Jiangbei International Airport,29.712254,106.651895,Chongqing,CKG
Daocheng Yading Airport,29.31632,100.060317,Garzê (Daocheng),DCY
Dachuan Airport,31.1302,107.4295,Dazhou (Daxian),DAX
Guanghan Airport,30.9485,104.3296,Deyang (Guanghan),GHN
Guangyuan Panlong Airport,32.390254,105.694571,Guangyuan (Lizhou),GYS
Guiyang Longdongbao International Airport,26.541466,106.803331,Guiyang (Nanming),KWE
Garze Gesar Airport,31.7575,99.554167,Garzê (Garzê),GZG
